CustomerClass,ProductCode,ProductName,IsAllowed
1KRO,3436_UOMCS,**AFC Stir Fry Sauce,Yes
1KRO,3437_UOMCS4,**Sweet & Sour Sauce,Yes
1KRO,3438_UOMCS4,**AFC Yakiniku Sauce,Yes
1KRO,3439_UOMCS,Micro Noodle Bowl 38oz,No
1KRO,3443_UOMCS12,**Classic Teriyaki Sauce 12 bag/1kg,Yes
1KRO,3445_UOMCS,AFC Sweet & Spicy Dipping Sauce,Yes
1KRO,3447_UOMCASE,AFC Spicy Bomb Sauce,Yes
1KRO,3448_UOMBOT,Yakisoba Sauce,Yes
1KRO,3448_UOMCS6,Yakisoba Sauce,Yes
1KRO,3463_UOMCS12,Men Tsuyu  (Soup Base) 12/16oz,Yes
1KRO,3466_UOMCS,Creamy Sesame Dressing 6/32oz,Yes
1KRO,3468_UOMCS,Chinese Style Sesame Dressing,No
1KRO,3485_UOMBOT,Miso Ramen Soup 6/2kg,No
1KRO,3485_UOMCS6,Miso Ramen Soup 6/2kg,Yes
1KRO,3491_UOMCS,Premium AFC Poke Sauce 8/720g,Yes
1KRO,3604_UOMCS12,Retail Pickeled Ginger Calif Cup,No
1KRO,3605_UOMCS12,Sushi Gari BOT,Yes
1KRO,3610_UOMCS12,R Sesame 4oz,Yes
1KRO,3615_UOMCS20,Grated Wasabi,Yes
1KRO,3635_UOMCS,Retail Sushi Seaweed 50pk,Yes
1KRO,3640_UOMCS,Green Tea  24 Can,Yes
1KRO,3647_UOMCS24,Soy Sauce Bottle,No
1KRO,3648_UOMCS24,Soy Sauce Bottle 24 cs,Yes
1KRO,3655_UOMCS,Tofu Miso Soup 24/CS,Yes
1KRO,3660_UOMCS,Veg. Miso Soup 24/CS,Yes
1KRO,3804_UOMCS,Sesame Soy Wrapper 20/10pk,Yes
1KRO,3805_UOMCS,Yellow Soy Wrapper 20/10pks,No
1KRO,3808_UOMPACK,Mango Chipotle Origami Wraps 50pk/cs,No
1KRO,3809_UOMCS24,Color Soy Wrap,Yes
1KRO,3809_UOMPK,Color Soy Wrap,Yes
1KRO,3825_UOMEACH,Kosher Wasabi 1KG,No
1KRO,3830_UOMCS,Kosher Nori 12/30sh,No
1KRO,3840_UOMEACH,Natural Ginger 20LB,No
1KRO,3850_UOMBAG,Natural Wasabi 2.2LB,No
1KRO,3850_UOMCS16,Natural Wasabi 2.2LB,No
1KRO,3860_UOMCS,Natural Vin Orange 5.28gal,No
1KRO,3870_UOMBAG,Beet Root Chips,No
1KRO,3871_UOMBAG,Okra Chips,No
1KRO,4192_UOMCS,Yamachan Ramen 40/CS,No
1KRO,5110_UOMCS16,FET 1.0 Eco Tray Body,No
1KRO,5110_UOMCS8,FET 1.0 Eco Tray Body 100pc,No
1KRO,5110_UOMPK,FET 1.0 Eco Tray Body 100pc,No
1KRO,5111_UOMCS16,FET 1.0 Eco Tray Lid 50pc,No
1KRO,5111_UOMCS8,FET 1.0 Eco Tray Lid 100pc,No
1KRO,5111_UOMPK,FET 1.0 Eco Tray Lid 50pc,No
1KRO,5115_UOMCS16,FET  1.5 Eco Tray Body,No
1KRO,5115_UOMCS8,FET  1.5 Eco Tray Body 100pc,No
1KRO,5115_UOMPK,FET  1.5 Eco Tray Body 100pc,No
1KRO,5116_UOMCS16,FET-1.5 Eco Tray Lid 50pc,No
1KRO,5116_UOMCS8,FET-1.5 Eco Tray Lid 100pc,No
1KRO,5116_UOMPK,FET-1.5 Eco Tray Lid 50pc,No
1KRO,5125_UOMCS20,AFC H1 Heart Cont Body 20 PC,Yes
1KRO,5125_UOMPK,AFC H1 Heart Cont Body 20 PC,Yes
1KRO,5130_UOMCS20,AFC H1 Heart Lid 20 PC,Yes
1KRO,5130_UOMPK,AFC H1 Heart Lid 20 PC,Yes
1KRO,5145_UOMCS24,AFC-16 Clear Body,Yes
1KRO,5145_UOMPK,AFC-16 Clear Body,Yes
1KRO,5150_UOMCS24,AFC-16 Lid  Pack,Yes
1KRO,5150_UOMPK,AFC-16 Lid  Pack,Yes
1KRO,5155_UOMCS24,AFC-4 Blue Body Pack,Yes
1KRO,5155_UOMPK,AFC-4 Blue Body Pack,Yes
1KRO,5155A_UOMCS,R1.0 (AFC-4) Blue Set CS 8/50pc/CS,Yes
1KRO,5155B_UOMPK,R1.0 (AFC-4) Blue Set PK,Yes
1KRO,5160_UOMCS24,AFC-4 Lid  Pack,Yes
1KRO,5160_UOMPK,AFC-4 Lid  Pack,Yes
1KRO,5165_UOMCS24,AFC-5 Blue Body Pack,Yes
1KRO,5165_UOMPK,AFC-5 Blue Body Pack,Yes
1KRO,5170_UOMCS24,AFC-5 Lid Pack,No
1KRO,5170_UOMPK,AFC-5 Lid Pack,Yes
1KRO,5175_UOMCS16,AFC-20 Blue Body Pack,Yes
1KRO,5175_UOMPK,AFC-20 Blue Body Pack,Yes
1KRO,5175A_UOMCS,SK-20 Blue Set CS 6/50pc/set cs,Yes
1KRO,5175B_UOMPK,SK-20 (AFC-20) Set PK,Yes
1KRO,5175S_UOMCS16,AFC-20 Sakura Body 16/50pc,Yes
1KRO,5175S_UOMPK,AFC-20 Sakura Body 16/50pc,Yes
1KRO,5176_UOMCS16,AFC-20 Clear Body,No
1KRO,5176_UOMPK,AFC-20 Clear Body,No
1KRO,5180_UOMCS16,AFC-20 Lid  Pack,Yes
1KRO,5180_UOMPK,AFC-20 Lid  Pack,Yes
1KRO,5181_UOMCS16,AFC-20 Compostable Body,No
1KRO,5181_UOMPK,AFC-20 Compostable Body,No
1KRO,5182_UOMCS16,AFC-20 Compostable Lid,No
1KRO,5182_UOMPK,AFC-20 Compostable Lid,No
1KRO,5185_UOMCS16,AFC-30 Blue Body Pack,Yes
1KRO,5185_UOMPK,AFC-30 Blue Body Pack,Yes
1KRO,5185A_UOMCS,SK-30 Blue Set Cs 6/50pc/set cs,Yes
