Item,Description,UOM,Available,OnHand,Allocated,OnOrder,WHS,Cost
2201,Amberjack (Yellowtail)  11 lbs,LBS,649,748,99,0,1,133.32
2201,Amberjack (Yellowtail)  11 lbs,LBS,0,0,0,0,5,133.32
2203,Tuna-AA  11#/BX,CS,0,0,0,0,1,93.75
2203,Tuna-AA  11#/BX,CS,0,0,0,0,5,93.75
2204,Tuna-A   (22),LBS,6402,12430,6028,6600,1,167.20
2204,Tuna-A   (22),LBS,0,0,0,0,5,167.20
2207,Albacore 22lbs.,CS,0,0,0,0,1,181.50
2207,Albacore 22lbs.,CS,0,0,0,0,5,181.50
2209,Tuna C-Tatakimi 22lbs,LBS,4026,11220,7194,0,1,147.40
2209,Tuna C-Tatakimi 22lbs,LBS,0,0,0,0,5,147.40
2210,MSC Tuna A,LBS,6798,10450,3652,4400,1,187.00
2211,MSC Albacore 22,CS,41,91,50,0,1,181.50
2212,Tuna w/ skin,LBS,0,0,0,0,1,174.90
2212,Tuna w/ skin,LBS,0,0,0,0,5,174.90
2216,Tuna Tray,TRAY,665,805,140,0,1,226.80
2216,Tuna Tray,TRAY,0,0,0,0,5,226.80
2232,Smoked Atlantic  Salmon   (24),LBS,216,648,432,0,1,248.40
2232,Smoked Atlantic  Salmon   (24),LBS,0,0,0,0,5,248.40
2236,Atlantic Salmon 22,LBS,0,0,0,0,1,145.20
2236,Atlantic Salmon 22,LBS,0,0,0,0,5,145.20
2237,ASC Atlantic Salmon,LBS,25586,44682,19096,22000,1,145.20
2238,Pre Cut Atlantic Salmon 10/CS,LBS,0,0,0,0,1,71.00
2240,Salmon with Skin,LBS,-132,0,132,0,1,135.30
2240,Salmon with Skin,LBS,0,0,0,0,5,135.30
2244,Salmon.Grilled  Coho Roast Fzn. 22/CS,CS,99,168,69,0,1,199.82
2244,Salmon.Grilled  Coho Roast Fzn. 22/CS,CS,2050,2050,0,0,5,199.82
2252,Fresh Water Eel   (11),LBS,462,583,121,0,1,183.37
2252,Fresh Water Eel   (11),LBS,3212,3212,0,0,5,183.37
2259,Unakaba. Imitation Eel 4/24/CS,PK,1248,2400,1152,0,1,18.72
2259,Unakaba. Imitation Eel 4/24/CS,PK,69504,69504,0,0,5,18.72
2406,Shrimp Tray Vannamei 20tray/CS,TRAY,2920,5960,3040,0,1,108.40
2406,Shrimp Tray Vannamei 20tray/CS,TRAY,52640,52640,0,0,5,108.40
2418,Tempura Shrimp 10Pc 15tray/CS,TRAY,12840,18405,5565,22680,1,49.05
2418,Tempura Shrimp 10Pc 15tray/CS,TRAY,4455,4455,0,0,5,49.05
2436,Baby Shrimp 5 lbs 4bag/CS,BAG,0,856,856,720,1,112.00
2436,Baby Shrimp 5 lbs 4bag/CS,BAG,0,0,0,0,5,112.00
2440,Crab Stick Imi  H.G. CS16,PK,2464,16416,13952,0,1,65.92
2440,Crab Stick Imi  H.G. CS16,PK,123312,123312,0,0,5,65.92
2441,Crab Flake Imi  H.G.CS16,PK,0,0,0,0,1,61.44
2441,Crab Flake Imi  H.G.CS16,PK,0,0,0,0,5,61.44
2442,AFC Crab Shredded CS16,PK,688,13552,12864,0,1,63.20
2442,AFC Crab Shredded CS16,PK,61040,61040,0,0,5,63.20
2443,Crab Stick India CS16,PACK,0,0,0,0,1,62.72
2443,Crab Stick India CS16,PACK,0,0,0,0,5,62.72
2444,Natural Imitation Crab Stick,CS,41,41,0,0,1,61.77
2451,Imi Crab Flake Kosher,CS,0,0,0,0,1,55.00
2451,Imi Crab Flake Kosher,CS,0,0,0,0,5,55.00
2466,Real Crab   (5) 25lb/CS,lb,3575,3825,250,0,1,206.25
2466,Real Crab   (5) 25lb/CS,lb,0,0,0,0,5,206.25
2472,Kosh Imit Crab Stick 12/1lbs,CS,0,13,13,0,1,65.00
2472,Kosh Imit Crab Stick 12/1lbs,CS,0,0,0,0,5,65.00
2605,Fried Tofu Cubes 10 x 2.2lbs,CASE,112,123,11,0,1,62.50
2605,Fried Tofu Cubes 10 x 2.2lbs,CASE,0,0,0,0,5,62.50
2606,Natural Tempura Crispy 6bag/CS,BAG,3042,3510,468,0,1,43.50
2606,Natural Tempura Crispy 6bag/CS,BAG,0,0,0,0,5,43.50
2619,Fish Roe Masago 4.4 lbs  4/CS,PK,108,168,60,0,1,126.00
2619,Fish Roe Masago 4.4 lbs  4/CS,PK,1920,1920,0,0,5,126.00
2625,Fish Roe Masago 0.44 lbs. 30pk/cs,PK,1590,2460,870,0,1,84.00
2625,Fish Roe Masago 0.44 lbs. 30pk/cs,PK,3000,3000,0,0,5,84.00
2630,Tobiko Red  12/1.1 lbs/CS,PK,252,456,204,0,1,150.00
2630,Tobiko Red  12/1.1 lbs/CS,PK,0,0,0,0,5,150.00
2642,Mushroom  1.1 lbs 10/CS,PK,0,0,0,0,1,45.00
2642,Mushroom  1.1 lbs 10/CS,PK,0,0,0,0,5,45.00
2648,Gourd 2.2LB 10/CS,PK,-20,0,20,0,1,90.00
2648,Gourd 2.2LB 10/CS,PK,0,0,0,0,5,90.00
2654,Carrot 2.2 lbs 6/CS,PK,0,0,0,0,1,21.00
2654,Carrot 2.2 lbs 6/CS,PK,0,0,0,0,5,21.00
2660,Edamame Beans 10/2lbs,BAG,280,630,350,0,1,31.30
2660,Edamame Beans 10/2lbs,BAG,9810,9810,0,0,5,31.30
2666,Egg Cake 20/CS,EACH,-20,0,20,0,1,18.75
2666,Egg Cake 20/CS,EACH,0,0,0,0,5,18.75
2672,Seabreeze Salad  24/1.1  LBS/CS,EACH,1800,5184,3384,0,1,90.48
2672,Seabreeze Salad  24/1.1  LBS/CS,EACH,12168,12168,0,0,5,90.48
2678,Calamari Salad  24/1.1 lbs/CS,EACH,1104,2880,1776,0,1,120.96
2678,Calamari Salad  24/1.1 lbs/CS,EACH,0,0,0,0,5,120.96
2682,AFC Fusion Spicy Sauce,CASE,0,0,0,0,1,45.20
2682,AFC Fusion Spicy Sauce,CASE,0,0,0,0,5,45.20
27,PALLET,EACH,0,0,0,0,1,7.50
27,PALLET,EACH,0,0,0,0,5,7.50
2805,Grilled Chicken 2/5lb/CS,BAG,266,334,68,320,1,32.00
2805,Grilled Chicken 2/5lb/CS,BAG,0,0,0,0,5,32.00
2810,Grilled Dumpling Shrimp 30/CS,BAG,2580,10770,8190,0,1,117.00
2810,Grilled Dumpling Shrimp 30/CS,BAG,79500,79500,0,0,5,117.00
2817,Chicken Gyoza Mushroom (ORANGE) 10/49pc,CS,0,0,0,0,1,46.80
2817,Chicken Gyoza Mushroom (ORANGE) 10/49pc,CS,0,0,0,0,5,46.80
2818,Chicken Gyoza  Leek (WHITE) 10/49pc,CS,0,0,0,0,1,46.80
2818,Chicken Gyoza  Leek (WHITE) 10/49pc,CS,0,0,0,0,5,46.80
2819,Pre Fried Spring Roll 200pc/CS,CS,245,476,231,0,1,45.00
2819,Pre Fried Spring Roll 200pc/CS,CS,0,0,0,0,5,45.00
2820,Shumai 104P/CS,CS,0,0,0,0,1,25.85
2820,Shumai 104P/CS,CS,0,0,0,0,5,25.85
2821,Pork Shumai 108pc/CS,CS,870,1168,298,0,1,26.20
2822,AFC Sukiyaki Beef 12/1lbs,CS,192,195,3,0,1,55.20
2822,AFC Sukiyaki Beef 12/1lbs,CS,0,0,0,0,5,55.20
2824,Chicken Katsu 30lb/CS,CS,40,40,0,0,1,101.40
2824,Chicken Katsu 30lb/CS,CS,630,630,0,0,5,101.40
2826,Asian BBQ Beef 30#,CS,35,63,28,0,1,131.70
2826,Asian BBQ Beef 30#,CS,634,634,0,515,5,131.70
2827,Yakiniku  Beef  10/2.2lb,CS,0,0,0,0,1,73.20
2827,Yakiniku  Beef  10/2.2lb,CS,0,0,0,0,5,73.20
2828,Diced Pastrami  4BAG/CS,BAG,0,0,0,0,1,65.52
2828,Diced Pastrami  4BAG/CS,BAG,0,0,0,0,5,65.52
2829,Japanese Meatball 10pk/cs,CS,277,277,0,0,1,63.80
2831,Crispy Chicken (Karaage) 30#/CS,CS,5,172,167,0,1,67.20
2831,Crispy Chicken (Karaage) 30#/CS,CS,1890,1890,0,1176,5,67.20
2835,#3 Teriyaki Chicken 5x5.28 lbs bag,BAG,0,0,0,0,1,80.50
2835,#3 Teriyaki Chicken 5x5.28 lbs bag,BAG,0,0,0,0,5,80.50
2836,#3 Teriyaki Chicken OH,CS,0,254,254,0,1,107.10
2836,#3 Teriyaki Chicken OH,CS,880,880,0,1680,5,107.10
2837,Chicken Skewers (Yakitori) 20bags/cs,CS,145,321,176,0,1,86.00
2840,#6 Chicken Breast 10 lbs/CS,CS,116,116,0,0,1,42.75
2840,#6 Chicken Breast 10 lbs/CS,CS,0,0,0,0,5,42.75
2843,Pork Chashu  8LBS/CS,CS,21,28,7,0,1,74.27
2843,Pork Chashu  8LBS/CS,CS,0,0,0,0,5,74.27
2845,UDON. SANUKI 8/2.75lbs,CS,27,27,0,0,1,20.80
2845,UDON. SANUKI 8/2.75lbs,CS,0,0,0,0,5,20.80
2846,Chicken Chashu w/Soy 20/1lbs,CASE,0,0,0,0,1,89.87
2846,Chicken Chashu w/Soy 20/1lbs,CASE,0,0,0,0,5,89.87
2847,AFC Tonkotsu Ramen  w/Vegetables  50pc/6oz,CASE,0,0,0,0,1,115.00
2847,AFC Tonkotsu Ramen  w/Vegetables  50pc/6oz,CASE,0,0,0,0,5,115.00
2855,Yakisoba. JSL  Fzn Noodles 5/4lbs,CS,172,198,26,0,1,18.67
2855,Yakisoba. JSL  Fzn Noodles 5/4lbs,CS,0,0,0,0,5,18.67
2861,Fzn Ramen Noodles. MTC 40pc,CS,100,140,40,0,1,27.20
2861,Fzn Ramen Noodles. MTC 40pc,CS,0,0,0,0,5,27.20
2862,Ramen Yamachan 40pc/cs,CS,0,0,0,0,1,20.80
2865,INARI PACK 30 pc 20/CS,PACK,1780,2840,1060,0,1,56.20
2865,INARI PACK 30 pc 20/CS,PACK,9340,9340,0,0,5,56.20
2870,Natural Inari 10/60pc,PK,0,0,0,0,1,55.30
2870,Natural Inari 10/60pc,PK,0,0,0,0,5,55.30
2875,Classic Yummy Sauce 4/Gal/CS,BOT,0,0,0,0,1,86.52
2875,Classic Yummy Sauce 4/Gal/CS,BOT,0,0,0,0,5,86.52
2876,Yuzu Sauce 10/per Cs,BOT,0,0,0,0,1,200.00
2877,Vegetable Curry CS50,CS,15,15,0,0,1,46.19
2877,Vegetable Curry CS50,CS,300,300,0,0,5,46.19
