Item No,Item Description,Category,UOM,UOM Qty,Cost,Ext. Cost,Price,Ext. Price,Type,Status
6292,Thermal Vertical Stonefish Label,ROLL,ROLL,1,8.00000,8.00000,9.34000,9.34000,Sales Inventory,Active
6292,Thermal Vertical Stonefish Label,ROLL,CS16,16,8.00000,128.00000,149.44000,2391.04000,Sales Inventory,Active
6293,Microwave Instructions AFC 40L Sticker,ROLL,ROLL,1,8.90000,8.90000,9.66000,9.66000,Sales Inventory,Active
6294,PUBLIX $5 WEDNESDAY STICKER,ROLL,ROLL,1,6.96000,6.96000,8.63000,8.63000,Sales Inventory,Active
6295,Sticker 3 Min. Microwave,EACH,EACH,1,4.95000,4.95000,8.63000,8.63000,Sales Inventory,Active
6296,$5 Red Sticker,ROLL,ROLL,1,4.41000,4.41000,6.70000,6.70000,Sales Inventory,Active
6297,$5 Barcode Sticker,EACH,EACH,1,4.41000,4.41000,6.60000,6.60000,Sales Inventory,Active
6298,SEABREEZE SALAD LABEL,PK,PK,1,4.75000,4.75000,10.00000,10.00000,Sales Inventory,Inactive
6299,$5  Red  Sticker,ROLL,ROLL,1,6.00000,6.00000,6.50000,6.50000,Sales Inventory,Active
6300,Convection Oven 1/4Sheet,EACH,EACH,1,545.00000,545.00000,599.50000,599.50000,Sales Inventory,Active
6301,$6 Red Sticker,ROLL,ROLL,1,6.00000,6.00000,6.70000,6.70000,Sales Inventory,Active
6302,$9.99 Purple Sticker,ROLL,ROLL,1,6.00000,6.00000,6.70000,6.70000,Sales Inventory,Active
6303,50 Cent Off W/card,ROLL,ROLL,1,6.00000,6.00000,6.70000,6.70000,Sales Inventory,Active
6304,Warm Up Microwave Sticker,ROLL,ROLL,1,2.66000,2.66000,2.93000,2.93000,Sales Inventory,Active
6350,Bleach,EACH,EACH,1,0.00000,0.00000,1.49000,1.49000,Sales Inventory,Active
6500,Wild Blue Spicy Sauce Ribbon,ROLL,ROLL,1,6.23000,6.23000,6.90000,6.90000,Sales Inventory,Active
6501,Wild Blue Pickled Ginger Ribbon,ROLL,ROLL,1,6.23000,6.23000,6.90000,6.90000,Sales Inventory,Active
6502,Wild Blue Wasabi Ribbon,ROLL,ROLL,1,6.23000,6.23000,6.90000,6.90000,Sales Inventory,Active
6503,Wild Blue Sushi Sauce Ribbon,ROLL,ROLL,1,6.23000,6.23000,6.90000,6.90000,Sales Inventory,Active
6601,BOGO Sticker,ROLL,ROLL,1,8.10000,8.10000,8.98000,8.98000,Sales Inventory,Active
6603,Date Gun Label,ROLL,ROLL,1,2.20000,2.20000,2.64000,2.64000,Sales Inventory,Active
6606,Date Gun Label "Sell-By",ROLL,ROLL,1,2.20000,2.20000,2.64000,2.64000,Sales Inventory,Active
6609,"New" Sticker Yellow,ROLL,ROLL,1,4.41000,4.41000,2.54000,2.54000,Sales Inventory,Active
6612,Clear Chef Special Sticker,ROLL,ROLL,1,5.99000,5.99000,2.64000,2.64000,Sales Inventory,Active
6615,Clear Fully Cooked Sticker,ROLL,ROLL,1,5.99000,5.99000,2.54000,2.54000,Sales Inventory,Active
6618,Clear Ginger Dressing Sticker,ROLL,ROLL,1,6.96000,6.96000,10.00000,10.00000,Sales Inventory,Active
6621,Clear Hot Garlic Sticker,EACH,EACH,1,6.96000,6.96000,15.99000,15.99000,Sales Inventory,Active
6624,Clear Dumpling  Microwave Instruction Sticker 250 pcs,ROLL,ROLL,1,4.75000,4.75000,5.58000,5.58000,Sales Inventory,Active
6627,Clear Spicy Sticker,ROLL,ROLL,1,5.99000,5.99000,10.15000,10.15000,Sales Inventory,Active
6629,Chef Special Sticker Red 250,ROLL,ROLL,1,4.95000,4.95000,8.63000,8.63000,Sales Inventory,Active
6632,Clear Sweet Chili Sauce Sticker,ROLL,ROLL,1,0.00000,0.00000,17.76000,17.76000,Discontinued,Active
6633,Clear Vegatable Only Sticker,ROLL,ROLL,1,5.99000,5.99000,10.15000,10.15000,Sales Inventory,Active
6636,P. Gari Label 250 Ribbon,ROLL,ROLL,1,8.67000,8.67000,8.37000,8.37000,Sales Inventory,Active
6639,P Wasa Label 250 Ribon,ROLL,ROLL,1,7.45000,7.45000,8.37000,8.37000,Sales Inventory,Active
6642,P Spicy Sauce L 250 Ribbon,ROLL,ROLL,1,7.45000,7.45000,8.92000,8.92000,Sales Inventory,Active
6645,P Wasabi Oishisa 250,ROLL,ROLL,1,7.00000,7.00000,8.25000,8.25000,Sales Inventory,Active
6648,P Ginger Oishisa 250,ROLL,ROLL,1,7.00000,7.00000,8.25000,8.25000,Sales Inventory,Active
6649,P. Sushi Sauce  250. Clear,ROLL,ROLL,1,7.45000,7.45000,8.92000,8.92000,Sales Inventory,Active
6651,Label Friedrice,ROLL,ROLL,1,5.15000,5.15000,10.15000,10.15000,Sales Inventory,Active
6654,Label AM/PM,ROLL,ROLL,1,2.34000,2.34000,5.08000,5.08000,Discontinued,Active
6657,Classic Yummy Sauce Label,PK,PK,1,8.67000,8.67000,8.63000,8.63000,Sales Inventory,Active
6660,Label Peanut SA,ROLL,ROLL,1,8.00000,8.00000,10.00000,10.00000,Discontinued,Active
6663,Label Organic Brn Rice,ROLL,ROLL,1,5.15000,5.15000,5.92000,5.92000,Discontinued,Inactive
6666,Brown Rice Sticker Clear,EACH,EACH,1,5.67000,5.67000,10.15000,10.15000,Sales Inventory,Active
6669,Label. Spring Gard. Sheet,EACH,EACH,1,0.20000,0.20000,0.36000,0.36000,Sales Inventory,Active
6672,Lab Sustain Sticker,ROLL,ROLL,1,6.00000,6.00000,17.26000,17.26000,Sales Inventory,Active
6673,Gluten Free Sticker 250,ROLL,ROLL,1,8.00000,8.00000,8.63000,8.63000,Sales Inventory,Active
6675,Prep Item Label 500,ROLL,ROLL,1,1.95000,1.95000,3.91000,3.91000,Sales Inventory,Active
6676,Hot Bowl Sell By Stickers,ROLL,ROLL,1,4.75000,4.75000,5.58000,5.58000,Sales Inventory,Active
6677,$2 Off Red Sticker,ROLL,ROLL,1,6.00000,6.00000,6.70000,6.70000,Sales Inventory,Active
6678,$1 Off Sticker,ROLL,ROLL,1,6.00000,6.00000,7.61000,7.61000,Sales Inventory,Active
6679,Weekly Special Sticker,ROLL,ROLL,1,5.25000,5.25000,6.50000,6.50000,Sales Inventory,Active
6683,Sticker. Green "Shrimp",ROLL,ROLL,1,7.00000,7.00000,6.00000,6.00000,Discontinued,Inactive
6684,Sticker. Green.  "Vegetable",ROLL,ROLL,1,7.00000,7.00000,6.00000,6.00000,Discontinued,Inactive
6685,Sticker. Grilled Chicken,ROLL,ROLL,1,4.95000,4.95000,6.50000,6.50000,Sales Inventory,Active
