Item,Description,UOM,Qty,Cost,Price,Ext Price
2418,Tempura Shrimp 10Pc 15tray/CS,CS15     ,2,49.050000000,92.57000,185.14000
8344,Letter Poster,EACH     ,1,3.000000000,3.00000,3.00000
