ProductCode,ProductName,Price,UOM,IsActive
2420_UOMCS,Tempura Shrimp Gluten Free,57.1000,CS,no
2424_UOMCS,Shrimp Tray Hannaford 30/30pc,225.0000,CS,no
2430_UOMCS,Shr Tempura Han 100pc/CS,44.4000,CS,no
2432_UOMCS,Special Tempura/Hot Bowl 10p/16tray/CS,57.6000,CS,no
2436_UOMBAG,Baby Shrimp 5 lbs 4bag/CS,45.0000,BAG,no
2436_UOMCS4,Baby Shrimp 5 lbs 4bag/CS,182.7000,CS4,yes
2440_UOMCS16,Crab Stick Imi  H.G. CS16,98.5600,CS16,yes
2440_UOMPK,Crab Stick Imi  H.G. CS16,5.9000,PK,no
2441_UOMCS16,Crab Flake Imi  H.G.CS16,89.6000,CS16,no
2441_UOMPK,Crab Flake Imi  H.G.CS16,5.9000,PK,no
2442_UOMCS16,AFC Crab Shredded CS16,98.5600,CS16,yes
2442_UOMPK,Crab Flake  Use 2441,4.4000,PK,no
2443_UOMCS16,Crab Stick India CS16,89.6000,CS16,no
2444_UOMCS,Natural Imitation Crab Stick,73.9200,CS,yes
2448_UOMCS16,Crab Stick Imi USE Item 2440,70.4000,CS16,no
2448_UOMPK,Crab Stick Imi USE Item 2440,4.4000,PK,no
2450_UOMCS,Crab Stick Tetsujin 22 lbs,59.0000,CS,no
2451_UOMCS,Imi Crab Flake Kosher,64.9000,CS,no
2454_UOMCS,Kanikama Osaki,149.6000,CS,no
2460_UOMCS24,Boiled Crab   (1) 24/CS,177.1200,CS24,no
2460_UOMlb,Boiled Crab   (1),7.3800,lb,no
2466_UOMCS25,Real Crab   (5) 25lb/CS,222.0300,CS25,yes
2466_UOMCS30,Real Crab   (5) 25lb/CS,262.5000,CS30,no
2466_UOMlb,Real Crab   (5) 25lb/CS,8.7500,lb,no
2472_UOMCS,Kosh Imit Crab Stick 12/1lbs,71.3900,CS,yes
2605_UOMCASE,Fried Tofu Cubes 10 x 2.2lbs,69.7800,CASE,yes
2606_UOMBAG,Natural Tempura Crispy 6bag/CS,7.6500,BAG,no
2606_UOMCS6,Natural Tempura Crispy 6bag/CS,48.5700,CS6,yes
2607_UOMBAG,Tem Crispies Gluten Free,9.5700,BAG,no
2612_UOMBOT,Salmonroe  2.2 lbs,59.0000,BOT,no
2618_UOMCS17.6,Fish Roe   (4.4),96.8000,CS17.6,no
2618_UOMLBS,Fish Roe   (4.4),5.5000,LBS,no
2619_UOMCS4,Fish Roe Masago 4.4 lbs  4/CS,122.8200,CS4,yes
2619_UOMPK,Fish Roe  4.4 lbs  4/CS,24.2000,PK,no
2624_UOMLBS,Fish Roe   (1.1),5.5000,LBS,no
2625_UOMCS12,Fish Roe 0.44 lbs. 30pk/cs,72.6000,CS12,no
2625_UOMCS24,Fish Roe 1.1 lbs  24/CS,145.2000,CS24,no
2625_UOMCS30,Fish Roe Masago 0.44 lbs. 30pk/cs,96.2000,CS30,yes
2625_UOMPK,Fish Roe 1.1 lbs  24/CS,6.0500,PK,no
2630_UOMCS12,Tobiko Red  12/1.1 lbs/CS,200.9700,CS12,yes
2630_UOMPK,Tobiko Red  12/1.1 lbs/CS,16.5000,PK,no
2636_UOMCS20,Frozen Spinach,38.0000,CS20,no
2642_UOMCS10,Mushroom  1.1 lbs 10/CS,52.7800,CS10,yes
2642_UOMPK,Mushroom  1.1 lbs 10/CS,5.2000,PK,no
2648_UOMCS10,Gourd 2.2LB 10/CS,121.8000,CS10,yes
2648_UOMPK,Gourd 2.2LB 10/CS,12.1800,PK,no
2654_UOMCS6,Carrot 2.2 lbs 6/CS,21.6000,CS6,no
2654_UOMPK,Carrot 2.2 lbs 6/CS,3.6000,PK,no
2660_UOMBAG,Edamame Beans 10/2lbs,2.9600,BAG,no
2660_UOMCS10,Edamame Beans 10/2lbs,29.6400,CS10,yes
2662_UOMCS,Kosher Edamame,25.3600,CS,no
2663_UOMCS,Edamame Beans NTC 20/400g,17.8000,CS,no
2666_UOMCS20,Egg Cake 20/CS,76.1300,CS20,yes
2666_UOMCS5,Egg Cake 20/CS,19.0500,CS5,no
2666_UOMEACH,Egg Cake 20/CS,4.0000,EACH,no
2672_UOMCS12,Seabreeze Salad  12/2.2 LBS/CS,125.4000,CS12,no
2672_UOMCS24,Seabreeze Salad  24/1.1  LBS/CS,137.9400,CS24,yes
2672_UOMCS6,Seabreeze Salad 4.4LB,137.0400,CS6,no
2672_UOMEACH,Seabreeze Salad  12/2.2 LBS/CS,11.4200,EACH,no
2673_UOMPK,Nat. Seaweed Salad 4/4.4lbs,11.8000,PK,no
2678_UOMCS12,Calamari Salad  24/1.1 lbs/CS,157.3200,CS12,no
2678_UOMCS24,Calamari Salad  24/1.1 lbs/CS,159.6800,CS24,yes
2678_UOMCS6,Calamari Salad 4.4 lbs,165.6000,CS6,no
2678_UOMEACH,Calamari Salad  12/2.2 lbs/CS,13.8000,EACH,no
2679_UOMPK,Nat Calamari salad 4/4.4lbs,16.2000,PK,no
2680_UOMCS,Ebiyaki,40.2500,CS,no
2681_UOMCS,Okonomiyaki Vegetable,20.7000,CS,no
2682_UOMCASE,AFC Fusion Spicy Sauce,49.7200,CASE,no
27_UOMEACH,PALLET,10.0000,EACH,no
2805_UOMBAG,Grilled Chicken 2/5lb/CS,18.4000,BAG,no
2805_UOMCS2,Grilled Chicken 2/5lb/CS,37.3500,CS2,yes
2810_UOMCS30,Grilled Dumpling Shrimp 30/CS,140.0000,CS30,yes
2815_UOMCS30,Gril Dumpling  Vegetable 30bag/CS,108.9000,CS30,no
2816_UOMCS,Chicken Gyoza  Siracha (RED) 10/49pc,53.8000,CS,no
2817_UOMCS,Chicken Gyoza Mushroom (ORANGE) 10/49pc,53.8000,CS,no
2818_UOMCS,Chicken Gyoza  Leek (WHITE) 10/49pc,53.8000,CS,no
2819_UOMCS,Pre Fried Spring Roll 200pc/CS,50.2400,CS,yes
2820_UOMCS,Shumai 104P/CS,30.1500,CS,no
2821_UOMCS,Pork Shumai 108pc/CS,29.2500,CS,yes
2822_UOMCS,AFC Sukiyaki Beef 12/1lbs,63.3400,CS,yes
2824_UOMCS,Chicken Katsu 30lb/CS,123.0000,CS,no
2825_UOMCS,#1 Sliced Beef 6/4.4lbs,105.5000,CS,no
2826_UOMCS,Asian BBQ Beef 30#,146.3600,CS,yes
2827_UOMCS,Yakiniku  Beef  10/2.2lb,79.9000,CS,no
2828_UOMCS4,Diced Pastrami  4BAG/CS,48.5100,CS4,no
2829_UOMCS,Japanese Meatball 10pk/cs,70.2000,CS,no
2830_UOMBAG,#2 Chicken Karaage 4x5 lbs,17.7500,BAG,no
2830_UOMCS4,#2 Chicken Karaage 4x5 lbs,71.0000,CS4,no
2831_UOMCS,Crispy Chicken (Karaage) 30#/CS,75.0300,CS,yes
2835_UOMBAG,#3 Teriyaki Chicken 5x5.28 lbs bag,16.9700,BAG,no
2835_UOMCS5,#3 Teriyaki Chicken 5x5.28 lbs bag,91.6200,CS5,no
2836_UOMCS,#3 Teriyaki Chicken OH,123.8300,CS,yes
2837_UOMCS,Chicken Skewers (Yakitori) 20bags/cs,96.0000,CS,no
2840_UOMCS,#6 Chicken Breast 10 lbs/CS,50.2400,CS,yes
2841_UOMCS,Fzn BBQ Pork Baos 50pc/CS,25.0000,CS,no
2842_UOMCS,Hokki Fry 2/60pc,50.5000,CS,no
2843_UOMCS,Pork Chashu  8LBS/CS,91.4600,CS,yes
2843_UOMCS22,Pork Chashu  22LBS/CS,188.3200,CS22,no
2843_UOMCS8,Pork Chashu  8LBS/CS,80.4100,CS8,no
2843_UOMlb,Pork Chashu  22LBS/CS,8.5600,lb,no
2844_UOMCS30,Scalop 6/5lbs,242.2400,CS30,no
2845_UOMCS,UDON. SANUKI 8/2.75lbs,26.1900,CS,yes
2846_UOMCASE,Chicken Chashu w/Soy 20/1lbs,114.1900,CASE,no
2847_UOMCASE,AFC Tonkotsu Ramen  w/Vegetables  50pc/6oz,31.6300,CASE,no
2850_UOMCS,SOBA. FROZEN,33.5000,CS,no
2855_UOMCS,Yakisoba. JSL  Fzn Noodles 5/4lbs,19.2900,CS,yes
2857_UOMCS,#2  Fzn Yakisoba Noodle  MC Wavw 10/2.2lbs Otafuku,42.8000,CS,no
2860_UOMCS,Chow Mein. JSL Baked. Frozen 8/3lbs,26.0000,CS,no
2861_UOMCS,Fzn Ramen Noodles. MTC 40pc,29.5400,CS,yes
2862_UOMCS,Ramen Yamachan 40pc/cs,22.2600,CS,no
2863_UOMCS,Frozen Cooked  Ramen  Noodles 5/8/200g,9.0000,CS,no
2865_UOMCS20,INARI PACK 30 pc 20/CS,71.5000,CS20,yes
2865_UOMPACK,INARI PACK 30 pc 20/CS,4.4800,PACK,no
2870_UOMCS10,Natural Inari 10/60pc,70.2400,CS10,yes
2870_UOMPK,Natural Inari 10/60pc,6.9200,PK,no
2875_UOMBOT,Classic Yummy Sauce 4/Gal/CS,20.0300,BOT,no
2875_UOMCS4,Classic Yummy Sauce 4/Gal/CS,92.2000,CS4,no
2876_UOMCS10,Yuzu Sauce 10/per Cs,223.3000,CS10,yes
2877_UOMCS,Vegetable Curry CS50,50.8500,CS,no
2880_UOMBOT,Basic Sauce,10.7500,BOT,no
2880_UOMCS4,Basic Sauce,43.0000,CS4,no
2884_UOMCS4,Fzn Veg. Curry Concentrate,100.0000,CS4,no
2884_UOMEACH,Fzn Veg. Curry Concentrate,25.0000,EACH,no
2885_UOMCS12,Fzn AFC Goma Sesame Dressing 12/kg Otafu,45.0000,CS12,no
2885_UOMPK,Fzn AFC Sesame Sauce 12/kg Otafuku,3.7500,PK,no
2886_UOMCS,Tempura Pumpkin,48.5000,CS,no
2887_UOMCS,Tempura String Beans,45.5700,CS,no
2888_UOMCS,Fzn Yasai Mix Veg.,42.8400,CS,no
2889_UOMCS,Ebi Fry  (Fried Shrimp) 100pc/CS,39.0000,CS,no
2890_UOMCS,HK Style BBQ Pork 16/0.8lbs,56.0000,CS,no
2905_UOMCS,Nama Ramen Frozen  5/8/200g,18.0000,CS,no
2915_UOMCS,Yakiniku  Beef  10/2.2lb,79.9000,CS,no
2920_UOMlb,Pork Chashu  LBS,8.5600,lb,no
